pub_date	title	venue	citation	url_slug	paper_url	slides_url
2025-08	Conveying gender through speech: insights from trans men.	Interspeech   Alice Ross, Cliodhna Hughes, Eddie L. Ungless and Catherine Lai. (2025). 'Conveying gender through speech: insights from trans men.' <i>Interspeech 2025</i>, 674-678.	conveying-gender	https://www.isca-archive.org/interspeech_2025/ross25_interspeech.html	
  2024-12	Beyond the binary: Limitations and possibilities of gender-related speech technology research.	IEEE SLT  Alice Ross, Ariadna Sanchez and Nina Markl (2024). 'Beyond the binary: Limitations and possibilities of gender-related speech technology research.' <i>IEEE Spoken Language Technology Workshop 2024</i>, 526-532.	beyond-binary-speech-technology	https://ieeexplore.ieee.org/abstract/document/10832234
2024-06	Is there an uncanny valley for speech? Investigating listeners’ evaluations of realistic TTS voices.	Speech Prosody  Alice Ross, Martin Corley and Catherine Lai. (2024). 'Is there an uncanny valley for speech? Investigating listeners’ evaluations of realistic TTS voices.' <i>Speech Prosody 2024</i>, 1115-1119.	uncanny-valley-realistic-tts	https://www.isca-archive.org/speechprosody_2024/ross24_speechprosody.html
